Date,Description,Deposit Amount,Withdrawal Amount,Notes,Category Name,Category Id,Ledger Id,Ledger Name,Description_clean
08-08-2025,UPI-APOLLO PHARMACY-MEDICAL BILL,0.0,3900.0,,Health & Medical,9,307,Medical Expense Ledger,UPI APOLLO PHARMACY MEDICAL BILL
12-07-2025,NEFT-RENT-940230,0.0,56781.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
15-10-2025,UPI-SWIGGY-LAB TESTS,0.0,4138.0,,Health & Medical,9,307,Medical Expense Ledger,UPI SWIGGY LAB TESTS
22-05-2025,ACH C- ASIAN PAINTS LTD DIVIDEND-435098,1188.0,0.0,,Investment Income,2,202,Investment Income Ledger,ACH C ASIAN PAINTS LTD DIVIDEND
17-01-2026,CC BILL PAYMENT-576696154,0.0,68990.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
28-04-2025,TCS LIMITED INTEREST CREDIT-186516,6751.0,0.0,,Investment Income,2,202,Investment Income Ledger,TCS LIMITED INTEREST CREDIT
26-03-2026,UPI-APOLLO PHARMACY-GAMING,0.0,3718.0,,Entertainment,8,306,Entertainment Expense Ledger,UPI APOLLO PHARMACY GAMING
07-01-2026,NEFT-RENT-346183,0.0,50864.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
12-06-2025,GOOGLEPAY SUBSCRIPTION-134518,0.0,4465.0,,Entertainment,8,306,Entertainment Expense Ledger,GOOGLEPAY SUBSCRIPTION
03-04-2025,UPI-MYNTRA-SHOPPING,0.0,18551.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI MYNTRA SHOPPING
22-01-2026,UPI-AMAZON INDIA-FOOD,0.0,1499.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI AMAZON INDIA FOOD
14-12-2025,UPI-APOLLO PHARMACY-MISC-565982,5125.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI APOLLO PHARMACY MISC
22-12-2025,UPI-UBER-LAB TESTS,0.0,3010.0,,Health & Medical,9,307,Medical Expense Ledger,UPI UBER LAB TESTS
06-01-2026,UPI-CROSSWORD BOOKSTORE-DOCTOR CONSULTATION,0.0,1731.0,,Health & Medical,9,307,Medical Expense Ledger,UPI CROSSWORD BOOKSTORE DOCTOR CONSULTATION
27-04-2025,BANK TRANSFER-HOUSE RENT-658516,0.0,12493.0,,Rent & Housing,4,302,Rent Expense Ledger,BANK TRANSFER HOUSE RENT
09-08-2025,NEFT-RENT-935869,0.0,39655.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
13-05-2025,UPI-OLA CABS-MEDICAL BILL,0.0,2567.0,,Health & Medical,9,307,Medical Expense Ledger,UPI OLA CABS MEDICAL BILL
09-02-2026,BANK TRANSFER-HOUSE RENT-195028,0.0,55192.0,,Rent & Housing,4,302,Rent Expense Ledger,BANK TRANSFER HOUSE RENT
13-11-2025,UPI-AK JUICE CENTRE-LUNCH,0.0,2431.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI AK JUICE CENTRE LUNCH
30-07-2025,NEFT CR-CREDIT CARD BILL PAYMENT-820715624,0.0,9259.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,NEFT CR CREDIT CARD BILL PAYMENT
24-04-2025,UPI-NETFLIX-CLOTHING,0.0,19782.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI NETFLIX CLOTHING
23-07-2025,UPI-APOLLO PHARMACY-MISC-560244,0.0,5204.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI APOLLO PHARMACY MISC
28-07-2025,UPI-IRCTC UTS-MUMBAI TRIP,0.0,1448.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI IRCTC UTS MUMBAI TRIP
22-12-2025,UPI-AMAZON INDIA-MISC-146403,0.0,7206.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI AMAZON INDIA MISC
19-11-2025,UPI-OLA CABS-DINNER,0.0,1026.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI OLA CABS DINNER
17-02-2026,APR FEB SALARY,86087.0,0.0,,Salary Income,1,201,Salary Ledger,APR FEB SALARY
19-09-2025,UPI-MYNTRA-SHOPPING,0.0,12051.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI MYNTRA SHOPPING
14-05-2025,UPI-NATURAL ICE CREAM-COACHING FEES,0.0,6948.0,,Education & Books,10,308,Education Expense Ledger,UPI NATURAL ICE CREAM COACHING FEES
16-12-2025,UPI-DMART-MUMBAI TRIP,0.0,8086.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI DMART MUMBAI TRIP
02-01-2026,UPI-AK JUICE CENTRE-JUICE,0.0,181.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI AK JUICE CENTRE JUICE
22-10-2025,UPI-STARBUCKS-ONLINE SHOPPING,0.0,16500.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI STARBUCKS ONLINE SHOPPING
06-01-2026,UPI-UBER-MISC-949256,0.0,243.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI UBER MISC
27-09-2025,NEFT CR-SALARY-WIPRO,72327.0,0.0,,Salary Income,1,201,Salary Ledger,NEFT CR SALARY WIPRO
08-10-2025,UPI-SPOTIFY-SHOPPING,0.0,2461.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI SPOTIFY SHOPPING
03-09-2025,SALARY CREDIT SEP 2025,46716.0,0.0,,Salary Income,1,201,Salary Ledger,SALARY CREDIT SEP
10-04-2025,UPI-MYNTRA-STATIONERY,0.0,4578.0,,Education & Books,10,308,Education Expense Ledger,UPI MYNTRA STATIONERY
10-05-2025,UPI-SWIGGY-MISC-561552,12699.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI SWIGGY MISC
12-04-2025,UPI-PVR CINEMAS-FOOD,0.0,1497.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI PVR CINEMAS FOOD
18-11-2025,NEFT-RENT-711004,0.0,38519.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
24-07-2025,UPI-NATURAL ICE CREAM-SHOPPING,0.0,10488.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI NATURAL ICE CREAM SHOPPING
03-10-2025,UPI-CREDCLUB-CRED PAYMENT-409446576,0.0,17724.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,UPI CREDCLUB CRED PAYMENT
25-02-2026,UPI-AMAZON INDIA-COACHING FEES,0.0,5682.0,,Education & Books,10,308,Education Expense Ledger,UPI AMAZON INDIA COACHING FEES
30-06-2025,UPI-NETFLIX-MEDICAL BILL,0.0,5663.0,,Health & Medical,9,307,Medical Expense Ledger,UPI NETFLIX MEDICAL BILL
28-08-2025,UPI-DOMINOS PIZZA-LAB TESTS,0.0,7896.0,,Health & Medical,9,307,Medical Expense Ledger,UPI DOMINOS PIZZA LAB TESTS
01-01-2026,UPI-AIRTEL PAYMENTS BANK-LUNCH,0.0,232.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI AIRTEL PAYMENTS BANK LUNCH
23-06-2025,UPI-CREDCLUB-CRED PAYMENT-870631806,0.0,22386.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,UPI CREDCLUB CRED PAYMENT
29-04-2025,SALARY CREDIT APR 2025,84199.0,0.0,,Salary Income,1,201,Salary Ledger,SALARY CREDIT APR
15-07-2025,UPI-DOMINOS PIZZA-MISC-600844,12921.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI DOMINOS PIZZA MISC
29-05-2025,UPI-SWIGGY-MISC-819449,0.0,6638.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI SWIGGY MISC
05-03-2026,UPI-IRCTC UTS-MOBILE BILL,0.0,1187.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI IRCTC UTS MOBILE BILL
20-01-2026,UPI-SWIGGY-GAMING,0.0,273.0,,Entertainment,8,306,Entertainment Expense Ledger,UPI SWIGGY GAMING
17-11-2025,SALARY CREDIT NOV 2025,62190.0,0.0,,Salary Income,1,201,Salary Ledger,SALARY CREDIT NOV
12-02-2026,VEDANTA LIMITED INTEREST CREDIT-880926,4083.0,0.0,,Investment Income,2,202,Investment Income Ledger,VEDANTA LIMITED INTEREST CREDIT
18-01-2026,NEFT-RENT-853298,0.0,24977.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
07-06-2025,UPI-ZERODHA BROKING LTD-MISC-903147,985.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI ZERODHA BROKING LTD MISC
19-02-2026,UPI-AMAZON INDIA-ONLINE COURSE,0.0,8122.0,,Education & Books,10,308,Education Expense Ledger,UPI AMAZON INDIA ONLINE COURSE
14-10-2025,UPI-FLIPKART-ELECTRICITY BILL,0.0,4068.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI FLIPKART ELECTRICITY BILL
19-01-2026,DIVIDEND CREDIT ICICI BANK-961069,1892.0,0.0,,Investment Income,2,202,Investment Income Ledger,DIVIDEND CREDIT ICICI BANK
21-02-2026,HDFC BANK INTEREST CREDIT-205848,4708.0,0.0,,Investment Income,2,202,Investment Income Ledger,HDFC BANK INTEREST CREDIT
25-07-2025,UPI-GOOGLEPAY-WATER BILL,0.0,970.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI GOOGLEPAY WATER BILL
11-05-2025,NEFT CR-CREDIT CARD BILL PAYMENT-228812636,0.0,63068.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,NEFT CR CREDIT CARD BILL PAYMENT
22-06-2025,POS-NETFLIX-MALL PURCHASE,0.0,586.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,POS NETFLIX MALL PURCHASE
03-09-2025,UPI-BHARGAV SANDEEP DESAI-LAB TESTS,0.0,4293.0,,Health & Medical,9,307,Medical Expense Ledger,UPI BHARGAV SANDEEP DESAI LAB TESTS
23-01-2026,CC BILL PAYMENT-431570988,0.0,35624.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
08-02-2026,UPI-NETFLIX-BOOKS,0.0,5676.0,,Education & Books,10,308,Education Expense Ledger,UPI NETFLIX BOOKS
03-04-2025,UPI-DMART-LAB TESTS,0.0,7646.0,,Health & Medical,9,307,Medical Expense Ledger,UPI DMART LAB TESTS
03-10-2025,UPI-STARBUCKS-CLOTHING,0.0,2019.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI STARBUCKS CLOTHING
30-08-2025,CC BILL PAYMENT-282683720,0.0,37268.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
20-06-2025,UPI-ZOMATO-CAB RIDE,0.0,10313.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI ZOMATO CAB RIDE
14-05-2025,UPI-ZOMATO-JUICE,0.0,2292.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI ZOMATO JUICE
01-08-2025,UPI-NATURAL ICE CREAM-DOCTOR CONSULTATION,0.0,3334.0,,Health & Medical,9,307,Medical Expense Ledger,UPI NATURAL ICE CREAM DOCTOR CONSULTATION
10-03-2026,NEFT CR-CREDIT CARD BILL PAYMENT-615620858,0.0,65047.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,NEFT CR CREDIT CARD BILL PAYMENT
27-07-2025,UPI-ZERODHA BROKING LTD-LAB TESTS,0.0,1341.0,,Health & Medical,9,307,Medical Expense Ledger,UPI ZERODHA BROKING LTD LAB TESTS
06-10-2025,OLA CABS SUBSCRIPTION-533819,0.0,4874.0,,Entertainment,8,306,Entertainment Expense Ledger,OLA CABS SUBSCRIPTION
12-12-2025,UPI-IRCTC UTS-MUMBAI TRIP,0.0,106.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI IRCTC UTS MUMBAI TRIP
11-08-2025,NEFT CR-SALARY-FREELANCE CLIENT,67840.0,0.0,,Salary Income,1,201,Salary Ledger,NEFT CR SALARY FREELANCE CLIENT
20-03-2026,UPI-BHARGAV SANDEEP DESAI-JUICE,0.0,963.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI BHARGAV SANDEEP DESAI JUICE
17-03-2026,CC BILL PAYMENT-279187162,0.0,45014.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
01-07-2025,NEFT CR-CREDIT CARD BILL PAYMENT-517210943,0.0,12120.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,NEFT CR CREDIT CARD BILL PAYMENT
28-09-2025,UPI-PVR CINEMAS-CAB RIDE,0.0,13803.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI PVR CINEMAS CAB RIDE
19-07-2025,UPI-NETFLIX-MISC-839180,0.0,13170.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI NETFLIX MISC
13-07-2025,RELIANCE INDUSTRIES INTEREST CREDIT-775159,7030.0,0.0,,Investment Income,2,202,Investment Income Ledger,RELIANCE INDUSTRIES INTEREST CREDIT
14-04-2025,NEFT CR-CREDIT CARD BILL PAYMENT-267486618,0.0,71188.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,NEFT CR CREDIT CARD BILL PAYMENT
08-11-2025,UPI-FLIPKART-ONLINE SHOPPING,0.0,4658.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI FLIPKART ONLINE SHOPPING
30-09-2025,UPI-CROSSWORD BOOKSTORE-FOOD,0.0,1891.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI CROSSWORD BOOKSTORE FOOD
19-04-2025,UPI-IRCTC UTS-CAB RIDE,0.0,12929.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI IRCTC UTS CAB RIDE
11-07-2025,UPI-IRCTC UTS-MUMBAI TRIP,0.0,6413.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI IRCTC UTS MUMBAI TRIP
25-02-2026,UPI-AMAZON INDIA-ELECTRONICS,0.0,985.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI AMAZON INDIA ELECTRONICS
27-06-2025,APR JUN SALARY,65372.0,0.0,,Salary Income,1,201,Salary Ledger,APR JUN SALARY
23-05-2025,NEFT-RENT-267647,0.0,42704.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
26-09-2025,UPI-IRCTC UTS-CLOTHING,0.0,12555.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI IRCTC UTS CLOTHING
25-03-2026,UPI-CREDCLUB-MEDICAL BILL,0.0,2552.0,,Health & Medical,9,307,Medical Expense Ledger,UPI CREDCLUB MEDICAL BILL
28-06-2025,UPI-BHARGAV SANDEEP DESAI-ONLINE SHOPPING,0.0,5698.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI BHARGAV SANDEEP DESAI ONLINE SHOPPING
01-12-2025,UPI-SWIGGY-STATIONERY,0.0,9769.0,,Education & Books,10,308,Education Expense Ledger,UPI SWIGGY STATIONERY
03-01-2026,UPI-DOMINOS PIZZA-LUNCH,0.0,811.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI DOMINOS PIZZA LUNCH
26-06-2025,UPI-AIRTEL PAYMENTS BANK-MISC-743907,9798.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI AIRTEL PAYMENTS BANK MISC
22-12-2025,UPI-BHARGAV SANDEEP DESAI-BREAKFAST,0.0,1677.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI BHARGAV SANDEEP DESAI BREAKFAST
12-08-2025,ACH C- INFOSYS LIMITED DIVIDEND-906651,6702.0,0.0,,Investment Income,2,202,Investment Income Ledger,ACH C INFOSYS LIMITED DIVIDEND
17-11-2025,HDFC BANK INTEREST CREDIT-275767,2201.0,0.0,,Investment Income,2,202,Investment Income Ledger,HDFC BANK INTEREST CREDIT
17-11-2025,UPI-AIRTEL PAYMENTS BANK-BOOKS,0.0,3034.0,,Education & Books,10,308,Education Expense Ledger,UPI AIRTEL PAYMENTS BANK BOOKS
13-10-2025,UPI-IRCTC UTS-MUMBAI TRIP,0.0,2667.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI IRCTC UTS MUMBAI TRIP
03-05-2025,UPI-DOMINOS PIZZA-ONLINE SHOPPING,0.0,10438.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI DOMINOS PIZZA ONLINE SHOPPING
30-01-2026,ASIAN PAINTS LTD INTEREST CREDIT-259380,8508.0,0.0,,Investment Income,2,202,Investment Income Ledger,ASIAN PAINTS LTD INTEREST CREDIT
26-07-2025,UPI-NETFLIX-CLOTHING,0.0,17059.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI NETFLIX CLOTHING
07-06-2025,RELIANCE DIGITAL SUBSCRIPTION-935083,0.0,2060.0,,Entertainment,8,306,Entertainment Expense Ledger,RELIANCE DIGITAL SUBSCRIPTION
15-04-2025,UPI-RELIANCE DIGITAL-ONLINE SHOPPING,0.0,1082.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI RELIANCE DIGITAL ONLINE SHOPPING
02-11-2025,UPI-GOOGLEPAY-MISC-565918,5917.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI GOOGLEPAY MISC
03-12-2025,UPI-OLA CABS-ELECTRICITY BILL,0.0,1810.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI OLA CABS ELECTRICITY BILL
07-04-2025,UPI-BIG BAZAAR-GAS CYLINDER PAYMENT,0.0,4694.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI BIG BAZAAR GAS CYLINDER PAYMENT
