Date,Description,Deposit Amount,Withdrawal Amount,Notes,Category Name,Category Id,Ledger Id,Ledger Name
11-01-2026,RENT PAYMENT-303127,,38933,,Rent & Housing,4,302,Rent Expense Ledger
12-06-2025,UPI-APOLLO PHARMACY-CONCERT TICKETS,,1849,,Entertainment,8,306,Entertainment Expense Ledger
05-10-2025,UPI-RELIANCE DIGITAL-PHARMACY,,7023,,Health & Medical,9,307,Medical Expense Ledger
02-11-2025,NOV 2025 SALARY CREDIT,69118,,,Salary Income,1,201,Salary Ledger
17-04-2025,UPI-ZOMATO-CONCERT TICKETS,,4070,,Entertainment,8,306,Entertainment Expense Ledger
08-11-2025,UPI-GOOGLEPAY-ONLINE COURSE,,9403,,Education & Books,10,308,Education Expense Ledger
02-06-2025,UPI-SPOTIFY-ELECTRICITY BILL,,2014,,Utilities & Bills,7,305,Utilities Expense Ledger
24-04-2025,UPI-CREDCLUB-CRED PAYMENT-940135434,,33658,,Credit Card Payment,11,401,Credit Card Payment Ledger
12-03-2026,UPI-OLA CABS-CONCERT TICKETS,,3757,,Entertainment,8,306,Entertainment Expense Ledger
18-03-2026,UPI-DOMINOS PIZZA-MEDICAL BILL,,2411,,Health & Medical,9,307,Medical Expense Ledger
20-01-2026,UPI-PVR CINEMAS-GAMING,,4754,,Entertainment,8,306,Entertainment Expense Ledger
20-07-2025,CRISIL LIMITED INTEREST CREDIT-577958,7021,,,Investment Income,2,202,Investment Income Ledger
06-05-2025,UPI-SPOTIFY-FOOD,,308,,Groceries & Food,3,301,Groceries Expense Ledger
06-12-2025,NEFT CR-CREDIT CARD BILL PAYMENT-704351392,,5135,,Credit Card Payment,11,401,Credit Card Payment Ledger
08-09-2025,UPI-NATURAL ICE CREAM-MISC-919812,,3250,,Miscellaneous,12,499,Miscellaneous Ledger
15-05-2025,UPI-AK JUICE CENTRE-MISC-139901,,737,,Miscellaneous,12,499,Miscellaneous Ledger
28-09-2025,UPI-ZOMATO-SHOPPING,,6106,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
13-04-2025,CC BILL PAYMENT-625849588,,55400,,Credit Card Payment,11,401,Credit Card Payment Ledger
25-02-2026,OLA CABS PAYMENT-812770819,,769,,Transport & Travel,5,303,Travel Expense Ledger
04-07-2025,UPI-UBER-MISC-906527,1175,,,Miscellaneous,12,499,Miscellaneous Ledger
28-11-2025,UPI-CREDCLUB-CRED PAYMENT-499562882,,9004,,Credit Card Payment,11,401,Credit Card Payment Ledger
23-07-2025,APR JUL SALARY,66819,,,Salary Income,1,201,Salary Ledger
07-10-2025,HINDUSTAN UNILEVER LTD INTEREST CREDIT-395138,7883,,,Investment Income,2,202,Investment Income Ledger
17-10-2025,UPI-SPOTIFY-MISC-756005,314,,,Miscellaneous,12,499,Miscellaneous Ledger
07-06-2025,UPI-CROSSWORD BOOKSTORE-DINNER,,1468,,Groceries & Food,3,301,Groceries Expense Ledger
19-03-2026,UPI-OLA CABS-MISC-408449,,10141,,Miscellaneous,12,499,Miscellaneous Ledger
08-01-2026,UPI-RELIANCE DIGITAL-ELECTRONICS,,9546,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
08-03-2026,UPI-ZERODHA BROKING LTD-CAB RIDE,,6399,,Transport & Travel,5,303,Travel Expense Ledger
20-02-2026,NEFT-RENT-827346,,51553,,Rent & Housing,4,302,Rent Expense Ledger
04-11-2025,DIVIDEND CREDIT HDFC BANK-970678,5483,,,Investment Income,2,202,Investment Income Ledger
02-03-2026,UPI-ZOMATO-CLOTHING,,6616,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
03-05-2025,CC BILL PAYMENT-117071962,,77637,,Credit Card Payment,11,401,Credit Card Payment Ledger
11-06-2025,UPI-PVR CINEMAS-JUICE,,338,,Groceries & Food,3,301,Groceries Expense Ledger
17-04-2025,DIVIDEND CREDIT RELIANCE INDUSTRIES-765847,1139,,,Investment Income,2,202,Investment Income Ledger
28-07-2025,UPI-AMAZON INDIA-MISC-138547,,9312,,Miscellaneous,12,499,Miscellaneous Ledger
20-08-2025,UPI-UBER-MISC-846111,6194,,,Miscellaneous,12,499,Miscellaneous Ledger
08-07-2025,UPI-CROSSWORD BOOKSTORE-LUNCH,,491,,Groceries & Food,3,301,Groceries Expense Ledger
27-01-2026,UPI-BHARGAV SANDEEP DESAI-CLOTHING,,14678,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
08-08-2025,UPI-APOLLO PHARMACY-MEDICAL BILL,,3900,,Health & Medical,9,307,Medical Expense Ledger
12-07-2025,NEFT-RENT-940230,,56781,,Rent & Housing,4,302,Rent Expense Ledger
15-10-2025,UPI-SWIGGY-LAB TESTS,,4138,,Health & Medical,9,307,Medical Expense Ledger
22-05-2025,ACH C- ASIAN PAINTS LTD DIVIDEND-435098,1188,,,Investment Income,2,202,Investment Income Ledger
17-01-2026,CC BILL PAYMENT-576696154,,68990,,Credit Card Payment,11,401,Credit Card Payment Ledger
28-04-2025,TCS LIMITED INTEREST CREDIT-186516,6751,,,Investment Income,2,202,Investment Income Ledger
26-03-2026,UPI-APOLLO PHARMACY-GAMING,,3718,,Entertainment,8,306,Entertainment Expense Ledger
07-01-2026,NEFT-RENT-346183,,50864,,Rent & Housing,4,302,Rent Expense Ledger
12-06-2025,GOOGLEPAY SUBSCRIPTION-134518,,4465,,Entertainment,8,306,Entertainment Expense Ledger
03-04-2025,UPI-MYNTRA-SHOPPING,,18551,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
22-01-2026,UPI-AMAZON INDIA-FOOD,,1499,,Groceries & Food,3,301,Groceries Expense Ledger
14-12-2025,UPI-APOLLO PHARMACY-MISC-565982,5125,,,Miscellaneous,12,499,Miscellaneous Ledger
22-12-2025,UPI-UBER-LAB TESTS,,3010,,Health & Medical,9,307,Medical Expense Ledger
06-01-2026,UPI-CROSSWORD BOOKSTORE-DOCTOR CONSULTATION,,1731,,Health & Medical,9,307,Medical Expense Ledger
27-04-2025,BANK TRANSFER-HOUSE RENT-658516,,12493,,Rent & Housing,4,302,Rent Expense Ledger
09-08-2025,NEFT-RENT-935869,,39655,,Rent & Housing,4,302,Rent Expense Ledger
13-05-2025,UPI-OLA CABS-MEDICAL BILL,,2567,,Health & Medical,9,307,Medical Expense Ledger
09-02-2026,BANK TRANSFER-HOUSE RENT-195028,,55192,,Rent & Housing,4,302,Rent Expense Ledger
13-11-2025,UPI-AK JUICE CENTRE-LUNCH,,2431,,Groceries & Food,3,301,Groceries Expense Ledger
30-07-2025,NEFT CR-CREDIT CARD BILL PAYMENT-820715624,,9259,,Credit Card Payment,11,401,Credit Card Payment Ledger
24-04-2025,UPI-NETFLIX-CLOTHING,,19782,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
23-07-2025,UPI-APOLLO PHARMACY-MISC-560244,,5204,,Miscellaneous,12,499,Miscellaneous Ledger
28-07-2025,UPI-IRCTC UTS-MUMBAI TRIP,,1448,,Transport & Travel,5,303,Travel Expense Ledger
22-12-2025,UPI-AMAZON INDIA-MISC-146403,,7206,,Miscellaneous,12,499,Miscellaneous Ledger
19-11-2025,UPI-OLA CABS-DINNER,,1026,,Groceries & Food,3,301,Groceries Expense Ledger
17-02-2026,APR FEB SALARY,86087,,,Salary Income,1,201,Salary Ledger
19-09-2025,UPI-MYNTRA-SHOPPING,,12051,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
14-05-2025,UPI-NATURAL ICE CREAM-COACHING FEES,,6948,,Education & Books,10,308,Education Expense Ledger
16-12-2025,UPI-DMART-MUMBAI TRIP,,8086,,Transport & Travel,5,303,Travel Expense Ledger
02-01-2026,UPI-AK JUICE CENTRE-JUICE,,181,,Groceries & Food,3,301,Groceries Expense Ledger
22-10-2025,UPI-STARBUCKS-ONLINE SHOPPING,,16500,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
06-01-2026,UPI-UBER-MISC-949256,,243,,Miscellaneous,12,499,Miscellaneous Ledger
27-09-2025,NEFT CR-SALARY-WIPRO,72327,,,Salary Income,1,201,Salary Ledger
08-10-2025,UPI-SPOTIFY-SHOPPING,,2461,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
03-09-2025,SALARY CREDIT SEP 2025,46716,,,Salary Income,1,201,Salary Ledger
10-04-2025,UPI-MYNTRA-STATIONERY,,4578,,Education & Books,10,308,Education Expense Ledger
10-05-2025,UPI-SWIGGY-MISC-561552,12699,,,Miscellaneous,12,499,Miscellaneous Ledger
12-04-2025,UPI-PVR CINEMAS-FOOD,,1497,,Groceries & Food,3,301,Groceries Expense Ledger
18-11-2025,NEFT-RENT-711004,,38519,,Rent & Housing,4,302,Rent Expense Ledger
24-07-2025,UPI-NATURAL ICE CREAM-SHOPPING,,10488,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
03-10-2025,UPI-CREDCLUB-CRED PAYMENT-409446576,,17724,,Credit Card Payment,11,401,Credit Card Payment Ledger
25-02-2026,UPI-AMAZON INDIA-COACHING FEES,,5682,,Education & Books,10,308,Education Expense Ledger
30-06-2025,UPI-NETFLIX-MEDICAL BILL,,5663,,Health & Medical,9,307,Medical Expense Ledger
28-08-2025,UPI-DOMINOS PIZZA-LAB TESTS,,7896,,Health & Medical,9,307,Medical Expense Ledger
01-01-2026,UPI-AIRTEL PAYMENTS BANK-LUNCH,,232,,Groceries & Food,3,301,Groceries Expense Ledger
23-06-2025,UPI-CREDCLUB-CRED PAYMENT-870631806,,22386,,Credit Card Payment,11,401,Credit Card Payment Ledger
29-04-2025,SALARY CREDIT APR 2025,84199,,,Salary Income,1,201,Salary Ledger
15-07-2025,UPI-DOMINOS PIZZA-MISC-600844,12921,,,Miscellaneous,12,499,Miscellaneous Ledger
29-05-2025,UPI-SWIGGY-MISC-819449,,6638,,Miscellaneous,12,499,Miscellaneous Ledger
05-03-2026,UPI-IRCTC UTS-MOBILE BILL,,1187,,Utilities & Bills,7,305,Utilities Expense Ledger
20-01-2026,UPI-SWIGGY-GAMING,,273,,Entertainment,8,306,Entertainment Expense Ledger
17-11-2025,SALARY CREDIT NOV 2025,62190,,,Salary Income,1,201,Salary Ledger
12-02-2026,VEDANTA LIMITED INTEREST CREDIT-880926,4083,,,Investment Income,2,202,Investment Income Ledger
18-01-2026,NEFT-RENT-853298,,24977,,Rent & Housing,4,302,Rent Expense Ledger
07-06-2025,UPI-ZERODHA BROKING LTD-MISC-903147,985,,,Miscellaneous,12,499,Miscellaneous Ledger
19-02-2026,UPI-AMAZON INDIA-ONLINE COURSE,,8122,,Education & Books,10,308,Education Expense Ledger
14-10-2025,UPI-FLIPKART-ELECTRICITY BILL,,4068,,Utilities & Bills,7,305,Utilities Expense Ledger
19-01-2026,DIVIDEND CREDIT ICICI BANK-961069,1892,,,Investment Income,2,202,Investment Income Ledger
21-02-2026,HDFC BANK INTEREST CREDIT-205848,4708,,,Investment Income,2,202,Investment Income Ledger
25-07-2025,UPI-GOOGLEPAY-WATER BILL,,970,,Utilities & Bills,7,305,Utilities Expense Ledger
11-05-2025,NEFT CR-CREDIT CARD BILL PAYMENT-228812636,,63068,,Credit Card Payment,11,401,Credit Card Payment Ledger
22-06-2025,POS-NETFLIX-MALL PURCHASE,,586,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
03-09-2025,UPI-BHARGAV SANDEEP DESAI-LAB TESTS,,4293,,Health & Medical,9,307,Medical Expense Ledger
23-01-2026,CC BILL PAYMENT-431570988,,35624,,Credit Card Payment,11,401,Credit Card Payment Ledger
08-02-2026,UPI-NETFLIX-BOOKS,,5676,,Education & Books,10,308,Education Expense Ledger
03-04-2025,UPI-DMART-LAB TESTS,,7646,,Health & Medical,9,307,Medical Expense Ledger
03-10-2025,UPI-STARBUCKS-CLOTHING,,2019,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
30-08-2025,CC BILL PAYMENT-282683720,,37268,,Credit Card Payment,11,401,Credit Card Payment Ledger
20-06-2025,UPI-ZOMATO-CAB RIDE,,10313,,Transport & Travel,5,303,Travel Expense Ledger
14-05-2025,UPI-ZOMATO-JUICE,,2292,,Groceries & Food,3,301,Groceries Expense Ledger
01-08-2025,UPI-NATURAL ICE CREAM-DOCTOR CONSULTATION,,3334,,Health & Medical,9,307,Medical Expense Ledger
10-03-2026,NEFT CR-CREDIT CARD BILL PAYMENT-615620858,,65047,,Credit Card Payment,11,401,Credit Card Payment Ledger
27-07-2025,UPI-ZERODHA BROKING LTD-LAB TESTS,,1341,,Health & Medical,9,307,Medical Expense Ledger
06-10-2025,OLA CABS SUBSCRIPTION-533819,,4874,,Entertainment,8,306,Entertainment Expense Ledger
12-12-2025,UPI-IRCTC UTS-MUMBAI TRIP,,106,,Transport & Travel,5,303,Travel Expense Ledger
11-08-2025,NEFT CR-SALARY-FREELANCE CLIENT,67840,,,Salary Income,1,201,Salary Ledger
20-03-2026,UPI-BHARGAV SANDEEP DESAI-JUICE,,963,,Groceries & Food,3,301,Groceries Expense Ledger
17-03-2026,CC BILL PAYMENT-279187162,,45014,,Credit Card Payment,11,401,Credit Card Payment Ledger
01-07-2025,NEFT CR-CREDIT CARD BILL PAYMENT-517210943,,12120,,Credit Card Payment,11,401,Credit Card Payment Ledger
28-09-2025,UPI-PVR CINEMAS-CAB RIDE,,13803,,Transport & Travel,5,303,Travel Expense Ledger
19-07-2025,UPI-NETFLIX-MISC-839180,,13170,,Miscellaneous,12,499,Miscellaneous Ledger
13-07-2025,RELIANCE INDUSTRIES INTEREST CREDIT-775159,7030,,,Investment Income,2,202,Investment Income Ledger
14-04-2025,NEFT CR-CREDIT CARD BILL PAYMENT-267486618,,71188,,Credit Card Payment,11,401,Credit Card Payment Ledger
08-11-2025,UPI-FLIPKART-ONLINE SHOPPING,,4658,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
30-09-2025,UPI-CROSSWORD BOOKSTORE-FOOD,,1891,,Groceries & Food,3,301,Groceries Expense Ledger
19-04-2025,UPI-IRCTC UTS-CAB RIDE,,12929,,Transport & Travel,5,303,Travel Expense Ledger
11-07-2025,UPI-IRCTC UTS-MUMBAI TRIP,,6413,,Transport & Travel,5,303,Travel Expense Ledger
25-02-2026,UPI-AMAZON INDIA-ELECTRONICS,,985,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
27-06-2025,APR JUN SALARY,65372,,,Salary Income,1,201,Salary Ledger
23-05-2025,NEFT-RENT-267647,,42704,,Rent & Housing,4,302,Rent Expense Ledger
26-09-2025,UPI-IRCTC UTS-CLOTHING,,12555,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
25-03-2026,UPI-CREDCLUB-MEDICAL BILL,,2552,,Health & Medical,9,307,Medical Expense Ledger
28-06-2025,UPI-BHARGAV SANDEEP DESAI-ONLINE SHOPPING,,5698,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
01-12-2025,UPI-SWIGGY-STATIONERY,,9769,,Education & Books,10,308,Education Expense Ledger
03-01-2026,UPI-DOMINOS PIZZA-LUNCH,,811,,Groceries & Food,3,301,Groceries Expense Ledger
26-06-2025,UPI-AIRTEL PAYMENTS BANK-MISC-743907,9798,,,Miscellaneous,12,499,Miscellaneous Ledger
22-12-2025,UPI-BHARGAV SANDEEP DESAI-BREAKFAST,,1677,,Groceries & Food,3,301,Groceries Expense Ledger
12-08-2025,ACH C- INFOSYS LIMITED DIVIDEND-906651,6702,,,Investment Income,2,202,Investment Income Ledger
17-11-2025,HDFC BANK INTEREST CREDIT-275767,2201,,,Investment Income,2,202,Investment Income Ledger
17-11-2025,UPI-AIRTEL PAYMENTS BANK-BOOKS,,3034,,Education & Books,10,308,Education Expense Ledger
13-10-2025,UPI-IRCTC UTS-MUMBAI TRIP,,2667,,Transport & Travel,5,303,Travel Expense Ledger
03-05-2025,UPI-DOMINOS PIZZA-ONLINE SHOPPING,,10438,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
30-01-2026,ASIAN PAINTS LTD INTEREST CREDIT-259380,8508,,,Investment Income,2,202,Investment Income Ledger
26-07-2025,UPI-NETFLIX-CLOTHING,,17059,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
07-06-2025,RELIANCE DIGITAL SUBSCRIPTION-935083,,2060,,Entertainment,8,306,Entertainment Expense Ledger
15-04-2025,UPI-RELIANCE DIGITAL-ONLINE SHOPPING,,1082,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
02-11-2025,UPI-GOOGLEPAY-MISC-565918,5917,,,Miscellaneous,12,499,Miscellaneous Ledger
03-12-2025,UPI-OLA CABS-ELECTRICITY BILL,,1810,,Utilities & Bills,7,305,Utilities Expense Ledger
07-04-2025,UPI-BIG BAZAAR-GAS CYLINDER PAYMENT,,4694,,Utilities & Bills,7,305,Utilities Expense Ledger
04-10-2025,UPI-NETFLIX-PHARMACY,,6842,,Health & Medical,9,307,Medical Expense Ledger
22-06-2025,UPI-SPOTIFY-FOOD,,2022,,Groceries & Food,3,301,Groceries Expense Ledger
21-11-2025,UPI-CROSSWORD BOOKSTORE-MISC-283043,2020,,,Miscellaneous,12,499,Miscellaneous Ledger
03-06-2025,UPI-PVR CINEMAS-GAS CYLINDER PAYMENT,,564,,Utilities & Bills,7,305,Utilities Expense Ledger
08-12-2025,UPI-SWIGGY-LAB TESTS,,2063,,Health & Medical,9,307,Medical Expense Ledger
19-08-2025,APR AUG SALARY,42384,,,Salary Income,1,201,Salary Ledger
07-03-2026,UPI-SWIGGY-MOVIE TICKETS,,2590,,Entertainment,8,306,Entertainment Expense Ledger
21-05-2025,UPI-STARBUCKS-MOBILE BILL,,2967,,Utilities & Bills,7,305,Utilities Expense Ledger
03-08-2025,POS-FLIPKART-MALL PURCHASE,,4106,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
12-05-2025,UPI-CREDCLUB-MUMBAI TRIP,,2099,,Transport & Travel,5,303,Travel Expense Ledger
03-03-2026,DMART SUBSCRIPTION-877949,,795,,Entertainment,8,306,Entertainment Expense Ledger
14-02-2026,UPI-NATURAL ICE CREAM-DINNER,,68,,Groceries & Food,3,301,Groceries Expense Ledger
03-07-2025,UPI-AIRTEL PAYMENTS BANK-STATIONERY,,4408,,Education & Books,10,308,Education Expense Ledger
27-11-2025,UPI-AK JUICE CENTRE-ELECTRICITY BILL,,4874,,Utilities & Bills,7,305,Utilities Expense Ledger
23-01-2026,UPI-CROSSWORD BOOKSTORE-MEDICAL BILL,,1772,,Health & Medical,9,307,Medical Expense Ledger
20-10-2025,OLA CABS PAYMENT-169217406,,4336,,Transport & Travel,5,303,Travel Expense Ledger
10-10-2025,NEFT CR-SALARY-HDFC BANK,60131,,,Salary Income,1,201,Salary Ledger
28-06-2025,UPI-CREDCLUB-MOVIE TICKETS,,3706,,Entertainment,8,306,Entertainment Expense Ledger
04-05-2025,RENT PAYMENT-494597,,16605,,Rent & Housing,4,302,Rent Expense Ledger
21-02-2026,CC BILL PAYMENT-667321485,,20810,,Credit Card Payment,11,401,Credit Card Payment Ledger
22-02-2026,UPI-CREDCLUB-MISC-259292,12286,,,Miscellaneous,12,499,Miscellaneous Ledger
17-11-2025,UPI-NATURAL ICE CREAM-DINNER,,1196,,Groceries & Food,3,301,Groceries Expense Ledger
02-08-2025,AUG 2025 SALARY CREDIT,52449,,,Salary Income,1,201,Salary Ledger
06-08-2025,POS-CREDCLUB-MALL PURCHASE,,7555,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
21-12-2025,UPI-AIRTEL PAYMENTS BANK-COACHING FEES,,2755,,Education & Books,10,308,Education Expense Ledger
21-02-2026,UPI-STARBUCKS-FOOD,,1288,,Groceries & Food,3,301,Groceries Expense Ledger
17-02-2026,UPI-NETFLIX-ELECTRICITY BILL,,1788,,Utilities & Bills,7,305,Utilities Expense Ledger
09-01-2026,UPI-SWIGGY-MEDICAL BILL,,5989,,Health & Medical,9,307,Medical Expense Ledger
20-11-2025,OLA CABS PAYMENT-734871096,,7670,,Transport & Travel,5,303,Travel Expense Ledger
01-05-2025,UPI-NETFLIX-DOCTOR CONSULTATION,,7069,,Health & Medical,9,307,Medical Expense Ledger
29-05-2025,UPI-LENSKART-WATER BILL,,1789,,Utilities & Bills,7,305,Utilities Expense Ledger
22-02-2026,TCS LIMITED INTEREST CREDIT-114743,6605,,,Investment Income,2,202,Investment Income Ledger
07-11-2025,UPI-SWIGGY-ELECTRONICS,,13541,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
04-04-2025,NEFT CR-CREDIT CARD BILL PAYMENT-750454027,,72126,,Credit Card Payment,11,401,Credit Card Payment Ledger
07-05-2025,UPI-SPOTIFY-MOBILE BILL,,4245,,Utilities & Bills,7,305,Utilities Expense Ledger
28-11-2025,UPI-BIG BAZAAR-GAMING,,4549,,Entertainment,8,306,Entertainment Expense Ledger
02-04-2025,UPI-NETFLIX-MISC-713369,,7808,,Miscellaneous,12,499,Miscellaneous Ledger
29-05-2025,UPI-STARBUCKS-STATIONERY,,2009,,Education & Books,10,308,Education Expense Ledger
17-10-2025,UPI-GOOGLEPAY-SHOPPING,,14287,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
08-12-2025,OLA CABS PAYMENT-429486968,,9180,,Transport & Travel,5,303,Travel Expense Ledger
24-11-2025,NEFT CR-SALARY-ASSET VANTAGE,45738,,,Salary Income,1,201,Salary Ledger
21-06-2025,NEFT CR-CREDIT CARD BILL PAYMENT-709336206,,6793,,Credit Card Payment,11,401,Credit Card Payment Ledger
16-12-2025,UPI-NETFLIX-FOOD,,2238,,Groceries & Food,3,301,Groceries Expense Ledger
26-06-2025,UPI-MYNTRA-ELECTRONICS,,16127,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
28-07-2025,UPI-UBER-CAB RIDE,,10740,,Transport & Travel,5,303,Travel Expense Ledger
28-12-2025,NEFT CR-SALARY-ASSET VANTAGE,84859,,,Salary Income,1,201,Salary Ledger
23-11-2025,UPI-DOMINOS PIZZA-MOVIE TICKETS,,4218,,Entertainment,8,306,Entertainment Expense Ledger
04-02-2026,UPI-BIG BAZAAR-MUMBAI TRIP,,9220,,Transport & Travel,5,303,Travel Expense Ledger
26-11-2025,NEFT-RENT-961789,,53486,,Rent & Housing,4,302,Rent Expense Ledger
24-10-2025,UPI-MYNTRA-LAB TESTS,,4828,,Health & Medical,9,307,Medical Expense Ledger
05-05-2025,UPI-FLIPKART-BREAKFAST,,1725,,Groceries & Food,3,301,Groceries Expense Ledger
12-08-2025,AUG 2025 SALARY CREDIT,57508,,,Salary Income,1,201,Salary Ledger
06-07-2025,UPI-PVR CINEMAS-DOCTOR CONSULTATION,,1578,,Health & Medical,9,307,Medical Expense Ledger
28-06-2025,INFOSYS LIMITED INTEREST CREDIT-891787,7985,,,Investment Income,2,202,Investment Income Ledger
21-03-2026,UPI-AMAZON INDIA-DOCTOR CONSULTATION,,1091,,Health & Medical,9,307,Medical Expense Ledger
22-08-2025,DIVIDEND CREDIT CRISIL LIMITED-443567,8638,,,Investment Income,2,202,Investment Income Ledger
19-02-2026,UPI-BIG BAZAAR-PHARMACY,,4624,,Health & Medical,9,307,Medical Expense Ledger
16-11-2025,UPI-AK JUICE CENTRE-SHOPPING,,2205,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
15-01-2026,UPI-CREDCLUB-BROADBAND BILL,,1396,,Utilities & Bills,7,305,Utilities Expense Ledger
30-09-2025,UPI-AIRTEL PAYMENTS BANK-LAB TESTS,,1951,,Health & Medical,9,307,Medical Expense Ledger
27-10-2025,RENT PAYMENT-948923,,55377,,Rent & Housing,4,302,Rent Expense Ledger
27-09-2025,UPI-DOMINOS PIZZA-ELECTRONICS,,16563,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
11-06-2025,UPI-ZERODHA BROKING LTD-MISC-436227,,14873,,Miscellaneous,12,499,Miscellaneous Ledger
19-12-2025,UPI-BHARGAV SANDEEP DESAI-GOA TRIP EXPENSES,,11615,,Transport & Travel,5,303,Travel Expense Ledger
12-07-2025,UPI-STARBUCKS-PHARMACY,,2296,,Health & Medical,9,307,Medical Expense Ledger
09-04-2025,UPI-CROSSWORD BOOKSTORE-STATIONERY,,6908,,Education & Books,10,308,Education Expense Ledger
21-11-2025,OLA CABS PAYMENT-791784805,,11949,,Transport & Travel,5,303,Travel Expense Ledger
04-06-2025,NETFLIX SUBSCRIPTION-532995,,3941,,Entertainment,8,306,Entertainment Expense Ledger
09-03-2026,UPI-BHARGAV SANDEEP DESAI-BOOKS,,874,,Education & Books,10,308,Education Expense Ledger
14-03-2026,UPI-STARBUCKS-ELECTRONICS,,2264,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
28-02-2026,NEFT-RENT-983096,,32087,,Rent & Housing,4,302,Rent Expense Ledger
13-08-2025,BANK TRANSFER-HOUSE RENT-323461,,9401,,Rent & Housing,4,302,Rent Expense Ledger
